userId,txid,createdAt,pay,per,skill,portfolio,available,bio
75407,6f35805ff64bbe156338b32d850332e3e802c8d6c2c5d1c39c2188cec125631d,2021-12-13T13:34:17.266812+00:00,3,project,dgital instrumentals production,italian king of the beats 2012,new year,sampling and loopsmaster
356,cb91da86caad37b8496e9270d68f19a8cd8198a5447b414f4f052f51e1892176,2021-12-13T17:12:12.549753+00:00,Fed IOUs,Stimulus bill,Society’s leech,*See previous stimulus packages,Until the Fed runs out of other people’s money,Why are you the right person for the job? I take and don’t give
6333,2274e54da98d6182b8bdcda564bedd1ca470d082a458af024cae7039fe8b24c9,2021-12-13T19:56:13.374204+00:00,0.5 BSV ,Hour ,"What skills do you have? Targeting, Sourcing passive candidates, Interviewing, Hiring, Onboarding, Training new hires ","Do you have proof of work? Three years team building for Microsoft Azure, Google Cloud Platform, Cisco clients and their partner networks ",,
652,9c78bf3cddd4a5e555313612d719910b89a5af323af98d88bb27da7d5c085e51,2021-12-14T09:35:57.063017+00:00,BSV,Project,Custom Twetch clients,eggdao.xyz pxlone.xyz and many more to come,✅ ,I learned from the best
62795,ab3a756af59f58c4a7064362d714fdfffa809a123aa31387c0ff919cb284563c,2021-12-14T15:11:17.146294+00:00,$40-500,Project,"Graphic design, visual arts",https://www.behance.net/Letsliquidfire,✅,"Strong concepts, diverse on aesthetics, detail oriented, I will potentiate your ideas"
9856,2c1239bd96583acc269a000e53b43e4d7a02359a157cfce911b22df31b7726ac,2021-12-17T06:29:09.187645+00:00,1 bsv,consultation,"scrypt, node js",buildonbsv.com,No / Soon®,twitter.com/akondelin for additional previous works
21539,8b82f27058cf9be5cec8740ee33a702b6e8ab6b8e643884f9146d649327cb946,2021-12-19T16:02:29.089214+00:00,"50/hr, in $ or BSV, open to other offers",,"HTML, CSS, JavaScript, content management, some php/sql xp",speranzawebservices.com,available weekends and weekdays after 5pm,"Front end, JS framework & CMS adaptable, some xp with python and php/sql as well as express.js"
39741,d6f55e7f1f26c5b9cde6c8b415d27a99d997203d3b1182e2e46a4676935f8b3b,2021-12-19T21:43:06.625972+00:00,$33,Hour,"Data analysis/viz, xAMP fullstack dev",tangerinelaboratories.com,✅,Hire me to build your web page and find better ways to present your data.
7053,b43d097fb7a8bd91348e224037126c9a17926c224c79d43275219e36d5288c19,2021-12-24T07:32:54.08582+00:00,Beverage Box Deal,Beverage Box Consultation,Beverage Boxing,Beverage Box Temple,✅,Beverage Box
272,c6124d20e77390359cff3e133c2f1b464bcb33d14e49ab67f40ba0354beed581,2021-12-24T14:07:53.175978+00:00,$PXL,support,"Lend a helping branch, support and promote your project",https://twetch.com/u/272 | https://pxlone.xyz,✅ ,Well-known Twetch Branch King. Here to support you and your awesome projects with positive vibes or help your friends who are new on Twetch to get attention and find their way in the BSV universe. Do you need an artist for your project? I can help you find someone who’s suitable for your idea. Get your $PXL now on https://www.relayx.com/market/PXL and become part of a great community.
